,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
321,重庆,巴南区,0,7,0,7,0.00,100.00
322,重庆,九龙坡区,0,22,1,21,4.55,95.45
323,重庆,高新区,0,4,0,4,0.00,100.00
324,重庆,沙坪坝区,0,10,0,10,0.00,100.00
325,重庆,两江新区,0,18,0,18,0.00,100.00
326,重庆,境外输入,0,26,0,26,0.00,100.00
327,重庆,江津区,0,6,0,6,0.00,100.00
328,重庆,綦江区,0,23,0,23,0.00,100.00
329,重庆,荣昌区,0,9,0,9,0.00,100.00
330,重庆,大足区,0,14,0,14,0.00,100.00
331,重庆,江北区,0,28,0,28,0.00,100.00
332,重庆,丰都县,0,10,0,10,0.00,100.00
333,重庆,潼南区,0,18,0,18,0.00,100.00
334,重庆,铜梁区,0,10,0,10,0.00,100.00
335,重庆,南岸区,0,15,0,15,0.00,100.00
336,重庆,万州区,0,118,4,114,3.39,96.61
337,重庆,渝中区,0,20,0,20,0.00,100.00
338,重庆,垫江县,0,20,0,20,0.00,100.00
339,重庆,云阳县,0,25,0,25,0.00,100.00
340,重庆,奉节县,0,22,0,22,0.00,100.00
341,重庆,石柱县,0,15,0,15,0.00,100.00
342,重庆,涪陵区,0,5,0,5,0.00,100.00
343,重庆,渝北区,0,17,0,17,0.00,100.00
344,重庆,彭水县,0,2,0,2,0.00,100.00
345,重庆,忠县,0,21,0,21,0.00,100.00
346,重庆,开州区,0,21,1,20,4.76,95.24
347,重庆,合川区,0,23,0,23,0.00,100.00
348,重庆,巫溪县,0,14,0,14,0.00,100.00
349,重庆,大渡口区,0,7,0,7,0.00,100.00
350,重庆,巫山县,0,10,0,10,0.00,100.00
351,重庆,万盛经开区,0,1,0,1,0.00,100.00
352,重庆,酉阳县,0,1,0,1,0.00,100.00
353,重庆,璧山区,0,9,0,9,0.00,100.00
354,重庆,永川区,0,5,0,5,0.00,100.00
355,重庆,武隆区,0,1,0,1,0.00,100.00
356,重庆,梁平区,0,4,0,4,0.00,100.00
357,重庆,城口县,0,2,0,2,0.00,100.00
358,重庆,黔江区,0,2,0,2,0.00,100.00
359,重庆,秀山县,0,1,0,1,0.00,100.00
360,湖南,境外输入,0,68,0,67,0.00,98.53
361,湖南,娄底,0,76,0,76,0.00,100.00
362,湖南,长沙,0,247,2,245,0.81,99.19
363,湖南,地区待确认,0,0,0,0,0.00,0.00
364,湖南,湘潭,0,38,0,38,0.00,100.00
365,湖南,湘西自治州,0,10,0,10,0.00,100.00
366,湖南,张家界,0,77,0,77,0.00,100.00
367,湖南,益阳,0,63,0,63,0.00,100.00
368,湖南,株洲,0,110,0,110,0.00,100.00
369,湖南,怀化,0,40,0,40,0.00,100.00
370,湖南,永州,0,44,0,44,0.00,100.00
371,湖南,郴州,0,39,0,39,0.00,100.00
372,湖南,常德,0,82,0,82,0.00,100.00
373,湖南,岳阳,0,156,1,155,0.64,99.36
374,湖南,邵阳,0,102,1,101,0.98,99.02
375,湖南,衡阳,0,48,0,48,0.00,100.00
376,海南,海口,0,41,0,41,0.00,100.00
377,海南,境外输入,0,19,0,19,0.00,100.00
378,海南,三亚,0,55,1,54,1.82,98.18
379,海南,儋州,0,15,1,14,6.67,93.33
380,海南,东方,0,3,1,2,33.33,66.67
381,海南,万宁,0,13,0,13,0.00,100.00
382,海南,澄迈县,0,9,1,8,11.11,88.89
383,海南,昌江县,0,7,0,7,0.00,100.00
384,海南,保亭,0,3,0,3,0.00,100.00
385,海南,琼海,0,6,1,5,16.67,83.33
386,海南,临高县,0,6,0,6,0.00,100.00
387,海南,陵水县,0,4,0,4,0.00,100.00
388,海南,乐东,0,2,0,2,0.00,100.00
389,海南,文昌,0,3,0,3,0.00,100.00
390,海南,定安县,0,3,1,2,33.33,66.67
391,海南,琼中县,0,1,0,1,0.00,100.00
392,甘肃,兰州,0,119,2,117,1.68,98.32
393,甘肃,张掖,0,17,0,17,0.00,100.00
394,甘肃,地区待确认,0,1,0,1,0.00,100.00
395,甘肃,嘉峪关,0,5,0,5,0.00,100.00
396,甘肃,天水,0,51,0,51,0.00,100.00
397,甘肃,陇南,0,6,0,6,0.00,100.00
398,甘肃,境外输入,0,108,0,108,0.00,100.00
399,甘肃,定西,0,9,0,9,0.00,100.00
400,甘肃,平凉,0,9,0,9,0.00,100.00
401,甘肃,庆阳,0,3,0,3,0.00,100.00
402,甘肃,白银,0,4,0,4,0.00,100.00
403,甘肃,甘南州,0,8,0,8,0.00,100.00
404,甘肃,临夏,0,3,0,3,0.00,100.00
405,甘肃,金昌,0,1,0,1,0.00,100.00
406,江西,上饶,0,144,0,144,0.00,100.00
407,江西,九江,0,117,0,117,0.00,100.00
408,江西,境外输入,0,6,0,6,0.00,100.00
409,江西,南昌,0,231,0,231,0.00,100.00
410,江西,赣州,0,74,1,73,1.35,98.65
411,江西,新余,0,129,0,129,0.00,100.00
412,江西,抚州,0,72,0,72,0.00,100.00
413,江西,吉安,0,22,0,22,0.00,100.00
